"English","PartOfSpeech","Meaning","Example","Date"
"pretext","n.","借口","","2026-01-04T11:01:19.669Z"
"extrapolate","v.","（依据已知信息）推测","","2026-01-04T11:01:19.661Z"
"blemish","v.","玷污, 破坏","","2026-01-04T11:01:19.655Z"
"divisive","adj.","引起争议的, 引起分裂的","","2026-01-04T11:01:19.659Z"
"obfuscate","v.","使…困惑","","2026-01-04T11:01:19.667Z"
"guesswork","n.","猜测","","2026-01-04T11:01:19.662Z"
"amplify","v.","详细阐述","","2026-01-04T11:01:19.654Z"
"embattle","v.","备战","","2026-01-04T11:01:19.660Z"
"arboreal","adj.","树的","","2026-01-04T11:01:19.655Z"
"second","v.","同意","","2026-01-04T11:01:19.671Z"
"winnow","v.","筛选","","2026-01-04T11:01:19.675Z"
"effusive","adj.","表达过多感情的","","2026-01-04T11:01:19.660Z"
"renegade","n.","叛徒","","2026-01-04T11:01:19.670Z"
"hinder","v.","阻碍","","2026-01-04T11:01:19.662Z"
"castigate","v.","严厉批评","","2026-01-04T11:01:19.656Z"
"tackle","v.","着手处理","","2026-01-04T11:01:19.673Z"
"adulterate","v.","掺假","","2026-01-04T11:01:19.654Z"
"witty","adj.","机智幽默的","","2026-01-04T11:01:19.675Z"
"widespread","adj.","广泛的","","2026-01-04T11:01:19.675Z"
"congruous","adj.","一致的, 适合的","","2026-01-04T11:01:19.657Z"
"overbearing","adj.","专横的，压倒性的","","2026-01-04T11:01:19.667Z"
"indefatigable","adj.","不知疲倦的","","2026-01-04T11:01:19.664Z"
"kindle","v.","点燃","","2026-01-04T11:01:19.665Z"
"humor","n.","幽默","","2026-01-04T11:01:19.663Z"
"cliché","n.","陈词滥调","","2026-01-04T11:01:19.656Z"
"concoct","v.","编造, 捏造","","2026-01-04T11:01:19.657Z"
"stickler","n.","坚持…的人","","2026-01-04T11:01:19.672Z"
"qualify","v.","限制","","2026-01-04T11:01:19.669Z"
"hamstring","v.","损坏","","2026-01-04T11:01:19.662Z"
"unexampled","adj.","史无前例的","","2026-01-04T11:01:19.674Z"
"reprehensible","adj.","应受指责的","","2026-01-04T11:01:19.670Z"
"luminary","n.","杰出人物","","2026-01-04T11:01:19.665Z"
"omit","v.","省略, 忽略","","2026-01-04T11:01:19.667Z"
"gadfly","n.","讨人厌的人","","2026-01-04T11:01:19.662Z"
"prophetic","adj.","预言的","","2026-01-04T11:01:19.669Z"
"croon","v.","低吟浅唱","","2026-01-04T11:01:19.658Z"
"disprove","v.","驳斥","","2026-01-04T11:01:19.659Z"
"incompatible","adj.","无法共存的, 不可兼容的","","2026-01-04T11:01:19.664Z"
"impenetrable","adj.","难懂的","","2026-01-04T11:01:19.663Z"
"airtight","adj.","密封的, 不透气的","","2026-01-04T11:01:19.654Z"
"respite","n.","暂歇, 休息","","2026-01-04T11:01:19.670Z"
"contract","v.","招致","","2026-01-04T11:01:19.657Z"
"avatar","n.","化身, 代表","","2026-01-04T11:01:19.655Z"
"extenuate","v.","减轻","","2026-01-04T11:01:19.661Z"
"appeal","v.","呼吁, 恳求","","2026-01-04T11:01:19.654Z"
"alienate","v.","疏远","","2026-01-04T11:01:19.654Z"
"impotent","adj.","无力的, 无效的","","2026-01-04T11:01:19.663Z"
"aside","n.","跑题","","2026-01-04T11:01:19.655Z"
"progeny","n.","子孙, 后裔","","2026-01-04T11:01:19.669Z"
"gravitate","v.","被吸引到..., 倾向","","2026-01-04T11:01:19.662Z"
"salient","adj.","明显的, 显眼的","","2026-01-04T11:01:19.671Z"
"halt","v.","停止","","2026-01-04T11:01:19.662Z"
"forgo","v.","放弃(优势)","","2026-01-04T11:01:19.661Z"
"retrenchment","n.","削减（尤指经费）","","2026-01-04T11:01:19.670Z"
"replenish","v.","补充, 修复","","2026-01-04T11:01:19.670Z"
"plastic","adj.","能适应的，灵活的","","2026-01-04T11:01:19.668Z"
"immure","v.","囚禁","","2026-01-04T11:01:19.663Z"
"veer","v.","改变方向","","2026-01-04T11:01:19.674Z"
"cure-all","n.","万能灵药","","2026-01-04T11:01:19.658Z"
"eyesore","n.","碍眼的事物","","2026-01-04T11:01:19.661Z"
"divert","v.","分散, 转移（注意力, 精神）","","2026-01-04T11:01:19.659Z"
"magisterial","adj.","权威的","","2026-01-04T11:01:19.665Z"
"obstinate","adj.","固执的","","2026-01-04T11:01:19.667Z"
"monogamy","n.","一夫一妻制","","2026-01-04T11:01:19.666Z"
