"English","PartOfSpeech","Meaning","Example","Date"
"aback","adv.","吃惊地","","2026-01-04T11:01:19.652Z"
"abandon","n.","放纵","","2026-01-04T11:01:19.652Z"
"abash","v.","使羞愧, 使困窘","","2026-01-04T11:01:19.652Z"
"abate","v.","减弱","","2026-01-04T11:01:19.652Z"
"abbreviate","v.","缩短","","2026-01-04T11:01:19.652Z"
"aberrant","adj.","不正常的","","2026-01-04T11:01:19.652Z"
"abet","v.","怂恿, 支持, 教唆（犯罪）","","2026-01-04T11:01:19.652Z"
"abeyance","n.","中止, 暂停","","2026-01-04T11:01:19.652Z"
"abhor","v.","厌恶","","2026-01-04T11:01:19.652Z"
"abiding","adj.","长期的","","2026-01-04T11:01:19.652Z"
"abnegate","v.","否认","","2026-01-04T11:01:19.652Z"
"abolish","v.","废除, 废止","","2026-01-04T11:01:19.652Z"
"abominate","v.","憎恶, 憎恨","","2026-01-04T11:01:19.652Z"
"abound","v.","富于, 充满","","2026-01-04T11:01:19.652Z"
"abrade","v.","磨损","","2026-01-04T11:01:19.652Z"
"abreast","adj.","与时俱进的","","2026-01-04T11:01:19.652Z"
"abridge","v.","缩短","","2026-01-04T11:01:19.652Z"
"absorbing","adj.","吸引人的","","2026-01-04T11:01:19.652Z"
"abstemious","adj.","生活节制的","","2026-01-04T11:01:19.652Z"
"abstraction","n.","抽象, 概要","","2026-01-04T11:01:19.652Z"
"abstruse","adj.","难以理解的","","2026-01-04T11:01:19.652Z"
"abuse","v.","滥用","","2026-01-04T11:01:19.652Z"
"abyss","n.","深渊（指危险的处境）","","2026-01-04T11:01:19.652Z"
"accede","v.","同意","","2026-01-04T11:01:19.652Z"
"accent","v.","发重音","","2026-01-04T11:01:19.654Z"
"accentuate","v.","强调","","2026-01-04T11:01:19.654Z"
"acclaim","v.","欢呼, 喝彩","","2026-01-04T11:01:19.654Z"
"accolade","n.","赞美","","2026-01-04T11:01:19.654Z"
"accommodate","v.","调解","","2026-01-04T11:01:19.654Z"
"accord","n.","和谐, 一致","","2026-01-04T11:01:19.654Z"
"accountable","adj.","（对某事）负责任的","","2026-01-04T11:01:19.654Z"
"accrete","v.","逐渐增长","","2026-01-04T11:01:19.654Z"
"accretive","adj.","增积的","","2026-01-04T11:01:19.654Z"
"acerbic","adj.","（语言）辛辣尖刻的","","2026-01-04T11:01:19.654Z"
"acidic","adj.","酸的, 尖酸刻薄的","","2026-01-04T11:01:19.654Z"
"acknowledge","v.","感谢","","2026-01-04T11:01:19.654Z"
"acme","n.","最高点","","2026-01-04T11:01:19.654Z"
"acolyte","n.","助手","","2026-01-04T11:01:19.654Z"
"acquiesce","v.","默许, 默认","","2026-01-04T11:01:19.654Z"
"acquired","adj.","后天习得的","","2026-01-04T11:01:19.654Z"
"acquisitive","adj.","贪婪的","","2026-01-04T11:01:19.654Z"
"acquittal","n.","宣告无罪","","2026-01-04T11:01:19.654Z"
"acrimony","n.","尖刻, 犀利","","2026-01-04T11:01:19.654Z"
"acumen","n.","机智, 精明","","2026-01-04T11:01:19.654Z"
"acute","adj.","严重的，关键的","","2026-01-04T11:01:19.654Z"
"adamant","adj.","固执的","","2026-01-04T11:01:19.654Z"
"adduce","v.","引用…证明","","2026-01-04T11:01:19.654Z"
"adept","adj.","精通的","","2026-01-04T11:01:19.654Z"
"adhere","v.","依附于…,坚持","","2026-01-04T11:01:19.654Z"
"adjacent","adj.","相邻的","","2026-01-04T11:01:19.654Z"
"adjudicate","v.","裁定, 宣判","","2026-01-04T11:01:19.654Z"
"adjunct","n.","附属物","","2026-01-04T11:01:19.654Z"
"adjuration","n.","恳求","","2026-01-04T11:01:19.654Z"
"admonish","v.","警告, 批评","","2026-01-04T11:01:19.654Z"
"adorn","v.","装饰","","2026-01-04T11:01:19.654Z"
"adroit","adj.","灵巧的","","2026-01-04T11:01:19.654Z"
"adulation","n.","恭维, 吹捧","","2026-01-04T11:01:19.654Z"
"adulterate","v.","掺假","","2026-01-04T11:01:19.654Z"
"adversarial","adj.","敌对的","","2026-01-04T11:01:19.654Z"
"adverse","adj.","不利的, 有害的","","2026-01-04T11:01:19.654Z"
"aesthetic","adj.","美学的","","2026-01-04T11:01:19.654Z"
"affable","adj.","和蔼可亲的","","2026-01-04T11:01:19.654Z"
"affect","v.","伪装, 装腔作势","","2026-01-04T11:01:19.654Z"
"affiliate","v.","附属","","2026-01-04T11:01:19.654Z"
"affinity","n.","倾向, 偏好","","2026-01-04T11:01:19.654Z"
"affirmative","adj.","积极的","","2026-01-04T11:01:19.654Z"
"agglomerate","v.","聚集","","2026-01-04T11:01:19.654Z"
"aggrandize","v.","夸大, 吹捧","","2026-01-04T11:01:19.654Z"
"aggrieve","v.","使痛苦","","2026-01-04T11:01:19.654Z"
"aghast","adj.","吃惊的","","2026-01-04T11:01:19.654Z"
"agog","adj.","急切渴望的","","2026-01-04T11:01:19.654Z"
"agonize","v.","感到痛苦，挣扎","","2026-01-04T11:01:19.654Z"
"agreeable","adj.","适合的","","2026-01-04T11:01:19.654Z"
"ailment","n.","疾病","","2026-01-04T11:01:19.654Z"
"aimless","adj.","漫无目的的","","2026-01-04T11:01:19.654Z"
"airtight","adj.","密封的, 不透气的","","2026-01-04T11:01:19.654Z"
"akin","adj.","相似的, 相关的","","2026-01-04T11:01:19.654Z"
"alacrity","n.","欣然同意","","2026-01-04T11:01:19.654Z"
"alarmism","n.","（毫无根据的）担忧, 危言耸听","","2026-01-04T11:01:19.654Z"
"albeit","conj.","即使","","2026-01-04T11:01:19.654Z"
"alienate","v.","疏远","","2026-01-04T11:01:19.654Z"
"allege","v.","断言, 宣称","","2026-01-04T11:01:19.654Z"
"allegory","n.","象征","","2026-01-04T11:01:19.654Z"
"alleviate","v.","减轻","","2026-01-04T11:01:19.654Z"
"alliance","n.","联盟, 联合","","2026-01-04T11:01:19.654Z"
"allure","v.","引诱","","2026-01-04T11:01:19.654Z"
"aloof","adj.","冷漠的, 疏远的","","2026-01-04T11:01:19.654Z"
"alter","v.","改变","","2026-01-04T11:01:19.654Z"
"altercate","v.","争吵","","2026-01-04T11:01:19.654Z"
"altruism","n.","无私, 利他主义","","2026-01-04T11:01:19.654Z"
