"English","PartOfSpeech","Meaning","Example","Date"
"dire","adj.","可怕的, 严重的","","2026-01-04T11:01:19.659Z"
"disapprobation","n.","不赞成；非难","","2026-01-04T11:01:19.659Z"
"disarray","n.","杂乱, 混乱","","2026-01-04T11:01:19.659Z"
"disavow","v.","否认","","2026-01-04T11:01:19.659Z"
"discern","v.","识别, 察觉","","2026-01-04T11:01:19.659Z"
"discerning","adj.","有洞察力的","","2026-01-04T11:01:19.659Z"
"discharge","v.","解雇","","2026-01-04T11:01:19.659Z"
"disclose","v.","揭发, 揭露","","2026-01-04T11:01:19.659Z"
"disconcerting","adj.","令人不安的","","2026-01-04T11:01:19.659Z"
"discontinue","v.","终止","","2026-01-04T11:01:19.659Z"
"discordant","adj.","不一致的","","2026-01-04T11:01:19.659Z"
"discount","v.","低估, 轻视","","2026-01-04T11:01:19.659Z"
"discredit","v.","拒绝承认","","2026-01-04T11:01:19.659Z"
"discrepancy","n.","差异","","2026-01-04T11:01:19.659Z"
"discrete","adj.","分开的, 分离的","","2026-01-04T11:01:19.659Z"
"discretion","n.","自由决定","","2026-01-04T11:01:19.659Z"
"discriminating","adj.","有洞察力的, 有鉴别能力的","","2026-01-04T11:01:19.659Z"
"discriminatory","adj.","不公平的, 歧视的","","2026-01-04T11:01:19.659Z"
"discursive","adj.","杂乱无章的","","2026-01-04T11:01:19.659Z"
"disdain","v.","蔑视, 鄙视","","2026-01-04T11:01:19.659Z"
"disengage","v.","使解脱","","2026-01-04T11:01:19.659Z"
"disgorge","v.","吐","","2026-01-04T11:01:19.659Z"
"disgruntle","v.","使...不高兴","","2026-01-04T11:01:19.659Z"
"disguise","v.","隐藏, 伪装","","2026-01-04T11:01:19.659Z"
"dishearten","v.","使...士气低落","","2026-01-04T11:01:19.659Z"
"disinformation","n.","假情报, 假消息","","2026-01-04T11:01:19.659Z"
"disintegrate","v.","瓦解","","2026-01-04T11:01:19.659Z"
"disinterested","adj.","客观公正的","","2026-01-04T11:01:19.659Z"
"disjunction","n.","分离, 分裂","","2026-01-04T11:01:19.659Z"
"dismantle","v.","拆开","","2026-01-04T11:01:19.659Z"
"dismissal","n.","免职，开除","","2026-01-04T11:01:19.659Z"
"dismissive","adj.","轻视的, 无视的","","2026-01-04T11:01:19.659Z"
"disorganize","v.","打乱, 破坏","","2026-01-04T11:01:19.659Z"
"disown","v.","否认","","2026-01-04T11:01:19.659Z"
"disparage","v.","鄙视","","2026-01-04T11:01:19.659Z"
"disparate","adj.","不同的","","2026-01-04T11:01:19.659Z"
"dispassionate","adj.","客观的","","2026-01-04T11:01:19.659Z"
"dispatch","n.","迅速","","2026-01-04T11:01:19.659Z"
"dispense","v.","分配, 分发","","2026-01-04T11:01:19.659Z"
"disperse","v.","使...分散","","2026-01-04T11:01:19.659Z"
"displace","v.","驱逐","","2026-01-04T11:01:19.659Z"
"disproportionate","adj.","不成比例的","","2026-01-04T11:01:19.659Z"
"disprove","v.","驳斥","","2026-01-04T11:01:19.659Z"
"disputant","n.","争论者","","2026-01-04T11:01:19.659Z"
"dispute","v.","争辩, 反对","","2026-01-04T11:01:19.659Z"
"disquiet","v.","使...不安","","2026-01-04T11:01:19.659Z"
"disquisition","n.","演讲, 报告","","2026-01-04T11:01:19.659Z"
"disregard","v.","无视, 忽视","","2026-01-04T11:01:19.659Z"
"disreputable","adj,","声明狼藉的","","2026-01-04T11:01:19.659Z"
"dissemble","v.","隐藏伪装（感情、意见）","","2026-01-04T11:01:19.659Z"
"disseminate","v.","传播, 散布","","2026-01-04T11:01:19.659Z"
"dissent","v.","持不同意见","","2026-01-04T11:01:19.659Z"
"dissipate","v.","使...消散","","2026-01-04T11:01:19.659Z"
"distance","v.","超出,把…..甩在后面","","2026-01-04T11:01:19.659Z"
"distend","v.","膨胀","","2026-01-04T11:01:19.659Z"
"distill","v.","蒸馏","","2026-01-04T11:01:19.659Z"
"distinctive","adj.","独特的，显著区别的","","2026-01-04T11:01:19.659Z"
"distort","v.","曲解","","2026-01-04T11:01:19.659Z"
"distress","v.","使......紧张, 忧虑, 不适","","2026-01-04T11:01:19.659Z"
"divergent","adj.","不同的","","2026-01-04T11:01:19.659Z"
